ID,Coluna,Data
A,15,2022-11-30 09:50:39
A,48,2022-11-30 10:39:52
A,22,2022-11-30 10:39:57
A,49,2022-11-30 10:40:36
A,10,2022-11-30 10:40:43
A,28,2022-11-30 10:40:58
A,25,2022-11-30 10:41:03
A,18,2022-11-30 10:41:08
A,42,2022-11-30 10:41:13
A,16,2022-11-30 10:42:33
A,19,2022-11-30 10:46:34
A,19,2022-11-30 10:46:41
A,19,2022-11-30 10:46:46
A,19,2022-11-30 10:47:19
A,11,2022-11-30 10:48:33
A,11,2022-11-30 10:48:44
A,11,2022-11-30 10:48:58
A,16,2022-11-30 10:49:31
A,14,2022-11-30 10:51:31
A,14,2022-11-30 10:51:34
A,14,2022-11-30 10:51:37
A,14,2022-11-30 10:51:54
A,14,2022-11-30 10:51:57
A,14,2022-11-30 10:52:00
A,12,2022-11-30 10:52:09
A,12,2022-11-30 10:52:12
A,12,2022-11-30 10:52:15
A,24,2022-11-30 10:52:38
A,01,2022-11-30 10:52:43
A,88,2022-11-30 10:52:46
A,88,2022-11-30 10:52:49
A,19,2022-11-30 10:54:30
A,86,2022-11-30 10:54:33
A,17,2022-11-30 10:55:23
A,14,2022-11-30 10:55:44
A,15,2022-11-30 10:56:03
A,14,2022-11-30 10:56:12
A,14,2022-11-30 10:56:19
A,14,2022-11-30 10:56:22
A,15,2022-11-30 10:57:00
A,15,2022-11-30 10:57:07
A,18,2022-11-30 10:57:32
A,19,2022-11-30 10:58:13
A,16,2022-11-30 10:58:18
A,17,2022-11-30 10:58:25
A,15,2022-11-30 10:59:44
